 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 12/08/2010   14:02:07
 ---------------------------------------------------------------------------------------------------------------------------------- 

14:02:15  |  Core  |  Info  |  Register value : 'Stretch' = 30  |  f:\luatool\inc\gui\Align.h  |  193
14:02:15  |  Core  |  Info  |  Register value : 'Default' = 10  |  f:\luatool\inc\gui\Align.h  |  194
14:02:15  |  Core  |  Info  |  Register value : 'HRelative' = 32  |  f:\luatool\inc\gui\Align.h  |  195
14:02:15  |  Core  |  Info  |  Register value : 'VRelative' = 64  |  f:\luatool\inc\gui\Align.h  |  196
14:02:15  |  Core  |  Info  |  Register value : 'Relative' = 96  |  f:\luatool\inc\gui\Align.h  |  197
14:02:15  |  Core  |  Info  |  Load ini curFile 'core_pointer.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:15  |  Core  |  Info  |  Load ini curFile 'editor_layer.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:15  |  Core  |  Info  |  Load ini curFile 'editor_skin.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:15  |  Core  |  Info  |  Load ini curFile 'editor_skin_helper.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:15  |  Core  |  Info  |  Load ini curFile 'editor_settings.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:15  |  Core  |  Info  |  Gui successfully initialized  |  ..\src\GUI\Gui.cpp  |  104
14:02:15  |  Core  |  Info  |  Load ini curFile 'widgets.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:15  |  Core  |  Info  |  Load ini curFile 'values.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:15  |  Core  |  Info  |  Load ini curFile 'ignore.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:15  |  Core  |  Info  |  Load ini curFile 'editor_plugin.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:15  |  Core  |  Info  |  Load ini curFile 'StrangeButtonPlugin.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:15  |  Core  |  Info  |  Loading library Plugin_StrangeButton_d.dll  |  ..\src\GUI\DynLib.cpp  |  27
14:02:15  |  Core  |  Error  |  Plugin 'Plugin_StrangeButton_d.dll' not found  |  ..\src\GUI\PluginManager.cpp  |  43
14:02:15  |  Core  |  Info  |  Load ini curFile 'HikariWidgetPlugin.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:15  |  Core  |  Info  |  Loading library Plugin_HikariWidget_d.dll  |  ..\src\GUI\DynLib.cpp  |  27
14:02:15  |  Core  |  Error  |  Plugin 'Plugin_HikariWidget_d.dll' not found  |  ..\src\GUI\PluginManager.cpp  |  43
14:02:15  |  Core  |  Info  |  Load ini curFile 'AwesomiumWidgetPlugin.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:15  |  Core  |  Info  |  Loading library Plugin_AwesomiumWidget_d.dll  |  ..\src\GUI\DynLib.cpp  |  27
14:02:15  |  Core  |  Error  |  Plugin 'Plugin_AwesomiumWidget_d.dll' not found  |  ..\src\GUI\PluginManager.cpp  |  43
14:02:15  |  Core  |  Info  |  Load ini curFile 'external_resources.xml'  |  ..\src\GUI\ResourceManager.cpp  |  126
14:02:15  |  Core  |  Error  |  ResourceManager : 'external_resources.xml', not found  |  ..\src\GUI\ResourceManager.cpp  |  149
14:02:16  |  Core  |  Info  |  load layout 'EditorToolTip.layout'  |  ..\src\GUI\LayoutManager.cpp  |  51
14:02:16  |  Core  |  Info  |  load layout 'interface.layout'  |  ..\src\GUI\LayoutManager.cpp  |  51
14:02:16  |  Core  |  Info  |  load layout 'SettingsWindow.layout'  |  ..\src\GUI\LayoutManager.cpp  |  51
14:02:16  |  Core  |  Info  |  load layout 'PropertiesPanelView.layout'  |  ..\src\GUI\LayoutManager.cpp  |  51
14:02:16  |  Core  |  Error  |  Skin 'Default' not found. Replaced with default skin.  |  ..\src\GUI\SkinManager.cpp  |  93
